# E,dup,ddn,pup,pdn,oct,totup,totdn
-3.652174,0.192142,0.019427,0.732119,0.000997,2.583729,2.216125,1.312288
-3.571906,0.189922,0.020106,0.715267,0.001031,2.493728,2.152053,1.268000
-3.491639,0.187487,0.020816,0.697265,0.001066,2.405962,2.087733,1.224862
-3.411371,0.184827,0.021559,0.678266,0.001102,2.320569,2.023378,1.182945
-3.331104,0.181940,0.022337,0.658411,0.001140,2.237655,1.959180,1.142305
-3.250836,0.178826,0.023151,0.637839,0.001180,2.157298,1.895313,1.102981
-3.170569,0.175488,0.024006,0.616678,0.001222,2.079548,1.831939,1.065001
-3.090301,0.171936,0.024902,0.595058,0.001266,2.004431,1.769210,1.028383
-3.010033,0.168184,0.025844,0.573106,0.001311,1.931954,1.707267,0.993132
-2.929766,0.164248,0.026833,0.550949,0.001359,1.862106,1.646249,0.959246
-2.849498,0.160149,0.027875,0.528711,0.001410,1.794860,1.586290,0.926714
-2.769231,0.155910,0.028972,0.506517,0.001463,1.730176,1.527515,0.895522
-2.688963,0.151556,0.030128,0.484488,0.001518,1.668005,1.470046,0.865649
-2.608696,0.147113,0.031348,0.462738,0.001577,1.608287,1.413995,0.837068
-2.528428,0.142608,0.032637,0.441376,0.001638,1.550958,1.359463,0.809754
-2.448161,0.138069,0.034000,0.420500,0.001703,1.495945,1.306541,0.783676
-2.367893,0.133520,0.035444,0.400196,0.001772,1.443174,1.255302,0.758803
-2.287625,0.128986,0.036974,0.380537,0.001844,1.392569,1.205808,0.735103
-2.207358,0.124491,0.038599,0.361586,0.001921,1.344050,1.158101,0.712545
-2.127090,0.120054,0.040326,0.343387,0.002002,1.297538,1.112209,0.691097
-2.046823,0.115694,0.042164,0.325973,0.002089,1.252954,1.068144,0.670729
-1.966555,0.111427,0.044123,0.309365,0.002180,1.210218,1.025902,0.651412
-1.886288,0.107266,0.046214,0.293572,0.002278,1.169255,0.985466,0.633120
-1.806020,0.103222,0.048451,0.278591,0.002382,1.129987,0.946806,0.615826
-1.725753,0.099303,0.050847,0.264411,0.002492,1.092341,0.909884,0.599510
-1.645485,0.095515,0.053418,0.251014,0.002611,1.056246,0.874652,0.584152
-1.565217,0.091863,0.056182,0.238376,0.002737,1.021631,0.841054,0.569735
-1.484950,0.088348,0.059161,0.226469,0.002873,0.988429,0.809032,0.556249
-1.404682,0.084972,0.062376,0.215261,0.003020,0.956577,0.778521,0.543684
-1.324415,0.081734,0.065855,0.204717,0.003177,0.926012,0.749457,0.532038
-1.244147,0.078632,0.069628,0.194803,0.003347,0.896675,0.721772,0.521313
-1.163880,0.075664,0.073732,0.185484,0.003531,0.868509,0.695402,0.511517
-1.083612,0.072826,0.078207,0.176725,0.003731,0.841459,0.670280,0.502667
-1.003344,0.070115,0.083100,0.168491,0.003948,0.815474,0.646343,0.494786
-0.923077,0.067526,0.088469,0.160748,0.004185,0.790505,0.623527,0.487907
-0.842809,0.065055,0.094378,0.153466,0.004445,0.766505,0.601774,0.482075
-0.762542,0.062697,0.100905,0.146614,0.004730,0.743428,0.581025,0.477349
-0.682274,0.060447,0.108143,0.140163,0.005044,0.721231,0.561225,0.473803
-0.602007,0.058300,0.116201,0.134086,0.005392,0.699875,0.542323,0.471531
-0.521739,0.056252,0.125211,0.128357,0.005779,0.679321,0.524270,0.470651
-0.441472,0.054297,0.135332,0.122954,0.006211,0.659532,0.507017,0.471309
-0.361204,0.052431,0.146755,0.117854,0.006695,0.640474,0.490522,0.473687
-0.280936,0.050649,0.159708,0.113037,0.007241,0.622112,0.474742,0.478005
-0.200669,0.048948,0.174469,0.108483,0.007859,0.604417,0.459639,0.484537
-0.120401,0.047322,0.191367,0.104175,0.008562,0.587358,0.445176,0.493609
-0.040134,0.045768,0.210796,0.100097,0.009366,0.570906,0.431318,0.505615
0.040134,0.044283,0.233213,0.096233,0.010288,0.555035,0.418033,0.521019
0.120401,0.042861,0.259147,0.092569,0.011349,0.539719,0.405290,0.540356
0.200669,0.041501,0.289190,0.089092,0.012571,0.524935,0.393061,0.564228
0.280936,0.040199,0.323981,0.085790,0.013980,0.510658,0.381319,0.593290
0.361204,0.038952,0.364182,0.082653,0.015602,0.496868,0.370038,0.628217
0.441472,0.037756,0.410426,0.079669,0.017460,0.483542,0.359196,0.669658
0.521739,0.036610,0.463259,0.076829,0.019578,0.470662,0.348770,0.718169
0.602007,0.035510,0.523050,0.074124,0.021970,0.458209,0.338739,0.774125
0.682274,0.034455,0.589892,0.071546,0.024642,0.446165,0.329083,0.837616
0.762542,0.033441,0.663498,0.069088,0.027583,0.434512,0.319785,0.908338
0.842809,0.032467,0.743100,0.066741,0.030768,0.423235,0.310826,0.985486
0.923077,0.031530,0.827368,0.064500,0.034148,0.412318,0.302190,1.067676
1.003344,0.030630,0.914382,0.062359,0.037654,0.401747,0.293863,1.152909
1.083612,0.029763,1.001654,0.060311,0.041196,0.391508,0.285829,1.238603
